Permit,Worktype,IssuedTo,Date,Address,Parcel,Units,Legal,ValuationUSD
C19-1175,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,3800 ALUMNI,421101000,NA,T13N R3W SEC 28 NE4NE4 G:1635,18000
C19-1234,BldgAlter,ANCHORAGE SOLAR,2019,W 1230 11TH,108360000,NA,SOUTH ADDITION BLK 25A LT  13A  G:1329,15915
C19-1489,BldgAlter,ANCHORAGE SOLAR,2019,W 1008 30TH,1001625000,NA,NELS SAND TR  4 E50' & TR 5 W10'  G:1629,11151
C19-1587,BldgAlter,ANCHORAGE SOLAR,2019,2303 MC RAE,1012317000,NA,LINTNER LT 37  G:1728,21949
C19-1662,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,14861 MOUNTAIN AIR,1721134000,NA,MOUNTAIN AIR ESTATES #2 TR  B1-A  G:3139,20000
C19-1664,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,E 307 24TH,220330000,NA,PEARL V SMITH BLK  2 LT   7A  G:1531,17000
R19-1151,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,5840 DE ARMOUN,1706103000,NA,MOUNTAIN PARK ESTATES BLK  2 LT   3  G:2938,16000
R19-1152,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,220 PACIFIC VIEW,1805119000,NA,OCEAN VIEW WEST #1 BLK  2 LT   3  G:2830,20000
R19-1181,BldgAlter,ANCHORAGE SOLAR,2019,1334 N,109605000,NA,VIEW RIDGE (OF SOUTH ADDN) BLK 34B LT,14396
R19-1182,BldgAlter,ANCHORAGE SOLAR,2019,10640 LONE TREE,1532254000,NA,VALLI VUE ESTATES #2 BLK  2 LT   4  G:2538,12744
R19-1183,BldgAlter,ANCHORAGE SOLAR,2019,9400 SUGAR,1509327000,NA,CONIFER HEIGHTS BLK   2 LT 10  G:2440,13836
R19-1185,BldgAlter,ANCHORAGE SOLAR,2019,3737 COVENTRY,1423335000,NA,WINCHESTER HEIGHTS BLK  4 LT  11  G:2235,12903
R19-1191,BldgAlter,ANCHORAGE SOLAR,2019,2022 BRANDILYN,1617277000,NA,BROOKWOOD HILLS BLK  2 LT   4  G:2733,13629
R19-1221,BldgAlter,ANCHORAGE SOLAR,2019,3906 BARBARA,1019412000,NA,KIRCHNER LT  15  G:1727,14396
R19-1222,BldgAlter,ANCHORAGE SOLAR,2019,1527 K,109223000,NA,MARTIN AND WELCH (SOUTH ADD) BLK 43B LT  17  G:1429,14396
R19-1294,BldgAlter,ANCHORAGE SOLAR,2019,4387 BLYTHE,5075107000,NA,TERI TR   A2  G:0704,10196
R19-1317,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2213 FORAKER,119104000,NA,PARK BLK   P LT 18  G:1526,15000
R19-1318,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2910 JONES,1005106000,NA,GLEN PARK ESTATES BLK  4 LT   4  G:1625,11000
R19-1329,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,4321 RENDEZVOUS,723452000,NA,CHUGACH FOOTHILLS #2 BLK  6 LT  25  G:1741,9682
R19-1330,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,15040 OLD SEWARD,1829109000,NA,CHENOWETH LT  3  G:3134,13990
R19-1332,BldgAlter,ANCHORAGE SOLAR,2019,1335 I,109139000,NA,SOUTH ADDITION BLK 37A LT   8  G:1429,15765
R19-1334,BldgAlter,ANCHORAGE SOLAR,2019,1035 P,108404000,NA,SOUTH ADDITION BLK 15A LT   8  G:1329,16727
R19-1354,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2901 ILLIAMNA,118508000,NA,TURNAGAIN HEIGHTS TR   C LT 38  G:1527,15000
R19-1355,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2920 WILEY POST,1013135000,NA,BROADMOOR ESTATES #3 BLK  7 LT  37  G:1727,10000
R19-1356,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,4210 WORONZOF,1005370000,NA,TURNAGAIN WEST BLK  2 LT  15  G:1625,14000
R19-1368,BldgAlter,ANCHORAGE SOLAR,2019,2808 DILIGENCE,1912255000,NA,DISCOVERY LT 17A  G:2727,46665
R19-1397,BldgAlter,ANCHORAGE SOLAR,2019,E 359 24TH,220326000,NA,PEARL V SMITH BLK  2 LT   3A  G:1531,21240
R19-1398,BldgAlter,ANCHORAGE SOLAR,2019,E 225 11TH,213644000,NA,THIRD ADDITION BLK 13 LT  11  G:1331,15666
R19-1399,BldgAlter,ANCHORAGE SOLAR,2019,7240 STAMPS,1506252000,NA,SILVER CREST BLK  2 LT  21  G:2439,20800
R19-1400,BldgAlter,ANCHORAGE SOLAR,2019,1737 SCENIC,110250000,NA,SCHODDE (SOUTH ADD) BLK 32 LT  10  G:1428,16164
R19-1419,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,10005 GOODNEWS,1247130000,NA,BAYSHORE WEST #1 BLK  1 LT   9  G:2526,26598
R19-1420,BldgAlter,ANCHORAGE SOLAR,2019,W 1307 13TH,108497000,NA,SOUTH ADDITION BLK 26C LTS 11 & 12 G:1329,16444
R19-1442,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,3000 MC COLLIE,118514000,NA,TURNAGAIN HEIGHTS TR  C LT   6  G:1527,15000
R19-1443,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2908 LEIGHTON,1004464000,NA,WAGNER ESTATES #3 BLK  9 LT  12  G:1626,10000
R19-1444,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2917 JONES,1005127000,NA,GLEN PARK ESTATES BLK  1 LT   7  G:1625,18000
R19-1446,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2858 KNIK,123423000,NA,TURNAGAIN HOMES BLK  I LT   5  G:1527,10000
R19-1447,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,3023 KNIK,123631000,NA,TURNAGAIN HOMES BLK  H LT  19  G:1527,18000
R19-1456,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2200 MC KENZIE,119432000,NA,SIMONSON ESTATES BLK  A LT   1B  G:1526,12000
R19-1458,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2850 PRIBILOF,1005341000,NA,TURNAGAIN WEST BLK  1 LT  37  G:1625,8000
R19-1462,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2340 CAPTAIN COOK,118408000,NA,TURNAGAIN HOMES BLK  F LT  16  G:1527,18000
R19-1465,BldgAlter,ANCHORAGE SOLAR,2019,W 1401 13TH,108474000,NA,SOUTH ADDITION BLK 26D LT  11A  G:1329,15321
R19-1466,BldgAlter,ANCHORAGE SOLAR,2019,941 DAVID,107230000,NA,L STREET SLIDE REPLAT PHASE 2 BLK 13 LT   4A  G:1328,8762
R19-1467,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,4220 GALACTICA,1006144000,NA,SATELLITE PARK BLK  3 LT   3  G:1625,12000
R19-1470,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2316 SUSITNA,119220000,NA,PARK BLK   R LT  11  G:1526,10000
R19-1471,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2521 SAINT ELIAS,123616000,NA,TURNAGAIN HOMES BLK  G LT  12  G:1527,10000
R19-1472,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2336 FOREST PARK,118108000,NA,FOREST HIGHLANDS LT   3  G:1527,14000
R19-1473,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2247 ARCTIC,118206000,NA,TURNAGAIN HEIGHTS BLK   B LT 12  G:1527,19000
R19-1513,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2401 FORAKER,122244000,NA,TURNAGAIN HOMES BLK  P LT  22  G:1526,18000
R19-1514,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,4200 WORONZOF,1005369000,NA,TURNAGAIN WEST BLK  2 LT  16  G:1625,19000
R19-1515,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,W 2219 MARSTON,119425000,NA,SIMONSON ESTATES BLK  B LT  10  G:1526,15000
R19-1516,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,3003 CARROLL,1019120000,NA,BROADMOOR ESTATES BLK  3 LT   2  G:1727,15000
R19-1518,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,W 3936 37TH,1014414000,NA,BROADMOOR ESTATES WEST #1 BLK  3 LT   5  G:1726,18000
R19-1519,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2527 SUSITNA,122315000,NA,TURNAGAIN HOMES BLK  Q LT  25  G:1526,9000
R19-1520,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,3232 KNIK,122133000,NA,TURNAGAIN HOMES BLK  O LT   7  G:1526,19000
R19-1521,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,W 3100 29TH,1003124000,NA,MCRAE (SUBD OF LT 11) LT   3 (OF LT  11)  G:1627,9000
R19-1522,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,3417 AERO,1007208000,NA,HAWTHORNE BLK  2 LT   8  G:1626,10000
R19-1523,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,6400 NORM,1406265000,NA,CARRIAGE ESTATES PHASE 1 BLK  2 LT  36  G:2034,26000
R19-1524,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,3329 STARLITE,1006165000,NA,SATELLITE PARK BLK   2 LT 22  G:1625,10000
R19-1525,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,140 BREE,1804109000,NA,OCEANVIEW ESTATES BLK  1 LT   5  G:2830,15000
R19-1526,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,4150 HORIZON,1005220000,NA,WORONZOF WEST #2 BLK  2 LT  15A  G:1625,9000
R19-1527,BldgAlter,ANCHORAGE SOLAR,2019,1327 P,109635000,NA,VIEW RIDGE (OF SOUTH ADDN) BLK 34A LT  23  G:1429,12800
R19-1546,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,13265 BADGER,1734310000,NA,SECLUDED HILLS BLK  2 LT   2  G:2937,14990
R19-1547,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,13720 JARVI,1815197000,NA,SUNSET MANOR #2 BLK   6 LT   6A  G:2932,34505
R19-1556,BldgAlter,ANCHORAGE SOLAR,2019,W 816 16TH,115425000,NA,CHESTER BLK  4 LT   3  G:1429,20886
R19-1587,BldgAlter,ANCHORAGE SOLAR,2019,1334 G,215605000,NA,SOUTH ADDITION BLK 37B LT   5  G:1430,11320
R19-1588,BldgAlter,ANCHORAGE SOLAR,2019,1522 COFFEY,109464000,NA,COFFEY BLK 44C LT  3A  G:1429,18054
R19-1661,BldgAlter,ANCHORAGE SOLAR,2019,W 1451 13TH,108479000,NA,SOUTH ADDITION BLK 26D LT   7A  G:1329,12597
R19-1662,BldgAlter,ANCHORAGE SOLAR,2019,W 1312 15TH,109521000,NA,SOUTH ADDITION BLK 45 LT   2  G:1429,17315
R19-1663,BldgAlter,ANCHORAGE SOLAR,2019,2627 LOVEJOY,416220000,NA,ANCHOR PARK BLK  1 LT  22  G:1534,7357
R19-1687,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,10650 LONE TREE,1532255000,NA,VALLI VUE ESTATES #2 BLK  2 LT   3  G:2538,12493
R19-1709,BldgAlter,ANCHORAGE SOLAR,2019,6747 DOUBLE TREE,1531109000,NA,VALLI VUE ESTATES #1 BLK  1 LT   8  G:2539,33070
R19-1710,BldgAlter,ANCHORAGE SOLAR,2019,5323 KEUKA,512208000,NA,COLLEGEGATE #6 BLK 11 LT  29  G:1637,11900
R19-1814,BldgAlter,ANCHORAGE SOLAR,2019,1134 H,108113000,NA,SOUTH ADDITION BLK 23A LT   4A  G:1329,16727
R19-1815,BldgAlter,ANCHORAGE SOLAR,2019,1130 S,107308000,NA,SOUTH ADDITION BLK 28 LT  10 N 75' OF S1/2  G:1328,14693
R19-1816,BldgAlter,ANCHORAGE SOLAR,2019,1651 SUNRISE,414117000,NA,SAXTON BLK  8 LT   4  G:1434,17936
R19-1817,BldgAlter,ANCHORAGE SOLAR,2019,2303 MC RAE,1012317000,NA,LINTNER LT 37  G:1728,21949
R19-1818,BldgAlter,ANCHORAGE SOLAR,2019,W 1515 15TH,110239000,NA,SOUTH ADDITION BLK 33D LT   9  G:1428,15665
R19-1819,BldgAlter,ANCHORAGE SOLAR,2019,1555 E,215352000,NA,SOUTH ADDITION BLK 40A LT  18A  G:1430,15075
R19-1845,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,1301 HEIDI,1211307000,NA,NOMEN BLK  1 LT   7  G:2129,20637
R19-1883,BldgAlter,ANCHORAGE SOLAR,2019,940 P,107242000,NA,L STREET SLIDE REPLAT BLK 13A LT   7D  G:1328,16396
R19-1884,BldgAlter,ANCHORAGE SOLAR,2019,W 1434 11TH,108434000,NA,SOUTH ADDITION BLK 26A LT   4  G:1329,15665
R19-1885,BldgAlter,ANCHORAGE SOLAR,2019,1133 N,108351000,NA,SOUTH ADDITION BLK 25A LT  16  G:1329,16314
R19-1945,BldgAlter,ANCHORAGE SOLAR,2019,3600 WYOMING,1012510000,NA,CONROY RUSHTON BLK   2 LT   1  G:1728,10798
R19-1946,BldgAlter,ANCHORAGE SOLAR,2019,1141 M,108347000,NA,SOUTH ADDITION BLK 25A LT   4  G:1329,10797
R19-1949,BldgAlter,ANCHORAGE SOLAR,2019,10340 KASILOF,1513327000,NA,KASILOF HILLS BLK  5 LT   1A  G:2541,22320
R19-1950,BldgAlter,ANCHORAGE SOLAR,2019,4130 DEFIANCE,714514000,NA,EASTLAKE ADDITION #1 BLK   2 LT   5  G:1738,8400
R19-1951,BldgAlter,ANCHORAGE SOLAR,2019,W 1729 11TH,107240000,NA,L STREET SLIDE REPLAT PHASE 2 BLK 14 LT,24369
R19-1952,BldgAlter,ANCHORAGE SOLAR,2019,8615 CORMORANT COVE,1501602000,NA,SAHALEE PHASE 3 BLK  2 LT  34  G:2336,13860
R19-1973,BldgAlter,ANCHORAGE SOLAR,2019,1113 N,108368000,NA,SOUTH ADDITION BLK 25A LTS 14 W10' AND 15  G:1329,15930
R19-1976,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2613 ARLINGTON,124304000,NA,HUNTINGTON PARK #1 BLK  3 LT   2  G:1528,7000
R19-1977,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2131 MC KENZIE,119206000,NA,PARK BLK   R LT  25  G:1526,16000
R19-1978,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2315 DOUGLAS,119120000,NA,PARK BLK  M LT  24  G:1526,16000
R19-1979,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,3816 KNIK,122542000,NA,SIMONSON BLK 16A LT   5  G:1526,10000
R19-1980,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2551 FORAKER,122237000,NA,TURNAGAIN HOMES BLK  N LT  13  G:1526,16000
R19-1981,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,1775 FOREST PARK,114333000,NA,LAGOON ESTATES LT   4  G:1428,15000
R19-1982,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,W 3230 31ST,1004353000,NA,TURNAGAIN SOUTH BLK  4 LT   5  G:1626,13000
R19-1983,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2001 HILLCREST,114218000,NA,LINGO LT  34A  G:1428,16000
R19-1984,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2451.5 SPURR,122437000,NA,CHARLES G JONES LT 17  G:1526,14000
R19-2050,BldgAlter,ANCHORAGE SOLAR,2019,11800 NEBESNA,1524305000,NA,ALPINE TERRACE BLK  2 LT   3  G:2740,18600
R19-2080,BldgAlter,ANCHORAGE SOLAR,2019,1614 HIDDEN,110125000,NA,SOUTH ADDITION BLK 46 LT  10  G:1428,15445
R19-2081,BldgAlter,ANCHORAGE SOLAR,2019,1594 GARDEN,411232000,NA,SAXTON BLK  3 LT   9  G:1434,13440
R19-2082,BldgAlter,ANCHORAGE SOLAR,2019,W 1536 14TH,110234000,NA,SOUTH ADDITION BLK 33D LT   4  G:1428,11790
R19-2083,BldgAlter,ANCHORAGE SOLAR,2019,1327 H,215643000,NA,SOUTH ADDITION BLK 37B LT   9  G:1430,12398
R19-2092,BldgAlter,ANCHORAGE SOLAR,2019,14111 SUNVIEW,1820148000,NA,SUNSET HILLS BLK  B LT  25  G:3033,13440
R19-2096,BldgAlter,ANCHORAGE SOLAR,2019,W 1429 12TH,108455000,NA,SOUTH ADDITION BLK 26A LT   8  G:1329,7470
R19-2097,BldgAlter,ANCHORAGE SOLAR,2019,W 1406 13TH,109615000,NA,VIEW RIDGE (OF SOUTH ADDN) BLK 34A LT   1  G:1429,12810
R19-2121,BldgAlter,ANCHORAGE SOLAR,2019,920 R,107223000,NA,L STREET SLIDE REPLAT PHASE 2 BLK 13B LT,15120
R19-2122,BldgAlter,ANCHORAGE SOLAR,2019,W 1517 15TH,110240000,NA,SOUTH ADDITION BLK 33D LT   8  G:1428,17010
R19-2123,BldgAlter,ANCHORAGE SOLAR,2019,1529 E,215325000,NA,SOUTH ADDITION BLK 40A LT   8  G:1430,10395
R19-2124,BldgAlter,ANCHORAGE SOLAR,2019,24242 ALPENGLOW,5061133000,NA,HAMANN LT  7A  G:0161,33630
R19-2127,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,9410 NETTLETON,1506262000,NA,NETTLETON ACRES #1 LT  1  G:2439,25655
R19-2128,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,17001 ARIES,2009130000,NA,SUSITNA VIEW ESTATES BLK  3 LT   8  G:3336,17990
R19-2161,BldgAlter,ANCHORAGE SOLAR,2019,W 1319 11TH,108490000,NA,SOUTH ADDITION BLK  15B LT   9 E23' & LT 10  G:1329,18225
R19-2164,BldgAlter,ANCHORAGE SOLAR,2019,1426 G,215610000,NA,SOUTH ADDITION BLK 37C LT   4  G:1430,19300
R19-2172,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,W 3735 35TH,1007226000,NA,HAWTHORNE BLK  1 LT   6  G:1626,17500
R19-2173,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2439 DOUGLAS,122213000,NA,TURNAGAIN HOMES BLK  M LT  29  G:1526,11000
R19-2174,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,3640 CLAY PRODUCTS,122511000,NA,HOLIFIELD LT  5  G:1526,13000
R19-2175,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2437 LOUSSAC,123329000,NA,TURNAGAIN HEIGHTS #1 BLK  B LT  21  G:1527,14000
R19-2212,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,1601 KEPNER,623317000,NA,NUNAKA VALLEY BLK  B LT  28  G:1438,19990
R19-2264,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,3620 CLAY PRODUCTS,122513000,NA,HOLIFIELD LT  3  G:1526,15000
R19-2265,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2100 FORAKER,119212000,NA,PARK BLK   R LT  19  G:1526,15000
R19-2272,BldgAlter,ANCHORAGE SOLAR,2019,W 1342 12TH,108462000,NA,SOUTH ADDITION BLK 26D LT   2B  G:1329,15045
R19-2273,BldgAlter,ANCHORAGE SOLAR,2019,3764 HENDERSON,1408138000,NA,GATEWAY BLK  2 LT   3  G:2135,12280
R19-2274,BldgAlter,ANCHORAGE SOLAR,2019,1123 I,108133000,NA,SOUTH ADDITION BLK 23A LT   8B  G:1329,18100
R19-2281,BldgAlter,ANCHORAGE SOLAR,2019,1351 U,110616000,NA,BOOTLEGGER PARK BLK  1 LT  16  G:1428,19566
R19-2355,BldgAlter,ANCHORAGE SOLAR,2019,1353 U,110615000,NA,BOOTLEGGER PARK BLK  1 LT  15  G:1428,18900
R19-2356,BldgAlter,ANCHORAGE SOLAR,2019,2205 HILAND,7814118000,NA,SOUTHFORK NORTH BLK  1 LT   2  G:0959,28008
R19-2359,BldgAlter,ANCHORAGE SOLAR,2019,E 923 11TH,311524000,NA,BEVERS (THIRD ADDN) BLK   4C LT  10 G:1332,17280
R19-2377,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,2261 FOXHALL,627218000,NA,FOXHALL #1 BLK  1 LT  51  G:1539,13500
R19-2428,BldgAlter,ANCHORAGE SOLAR,2019,2727 HILAND,7816109000,NA,CHUGACH HILLS BLK  1 LT   1A  G:0959,12600
R19-2458,BldgAlter,ANCHORAGE SOLAR,2019,1322 N,109604000,NA,VIEW RIDGE (OF SOUTH ADDN) BLK 34B LT   4  G:1429,22850
R19-2459,BldgAlter,ANCHORAGE SOLAR,2019,W 3332 83RD,1225218000,NA,MCWILLIAMS BLK  2A LT   3  G:2226,13230
R19-2460,BldgAlter,ANCHORAGE SOLAR,2019,3116 PRINCETON,321613000,NA,COLLEGE VILLAGE # 6 BLK 15 LT   2  G:1633,22320
R19-2461,BldgAlter,ANCHORAGE SOLAR,2019,W 621 15TH,215519000,NA,SOUTH ADDITION BLK 38D LT   3  G:1430,13650
