Permit,Worktype,IssuedTo,Date,Address,Parcel,Units,Legal,ValuationUSD
R21-1072,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,1/31/21,10342 PRINCE WILLIAM,1140281000,0,RESOLUTION POINTE PH 1 BLK  3A LT  17  G:2525,37000
R21-1095,BldgAlter,RENEWABLE ENERGY SYSTEMS,2/28/21,2211 CHANDALAR,635309000,0,CHESTER HEIGHTS BLK   2 LT  38  G:1540,19880
R21-1139,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2/28/21,2417 TULIK,122411000,0,SIMONSON ESTATE BLK   A LT   7 PLAT 48-B G:1526,18000
R21-1140,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2/28/21,7541 CHAD,1217501000,0,SHERWOOD ACRES BLK   3 LT  14  G:2129,20000
R21-1149,BldgAlter,ALASKA SOLAR LLC,2/28/21,3344 BEAR RIDGE,6762116000,0,BEAR RIDGE LT  10  G:0804,17927
R21-1150,BldgAlter,ALASKA SOLAR LLC,2/28/21,13418 STEPHENSON,1811212000,0,STATE MANOR LT  87  G:2933,10235
R21-1151,BldgAlter,ALASKA SOLAR LLC,2/28/21,W 912 21ST,116330000,0,KAPINGEN LT  19A  G:1529,18415
R21-1152,BldgAlter,ALASKA SOLAR LLC,2/28/21,3608 OREGON,1012426000,0,CONROY RUSHTON BLK   3 LT 5  G:1728,13928
R21-1226,BldgAlter,RENEWABLE ENERGY SYSTEMS,3/31/21,3940 TWILIGHT,1828122000,0,T12N R3W SEC 33 LT 131B  G:3135,23232
R21-1284,BldgAlter,ALASKA SOLAR LLC,4/30/21,2781 SEAFARER,1839166000,0,TURNAGAIN VIEW #6 BLK  12 LT   9  G:2934,14918
R21-1285,BldgAlter,ALASKA SOLAR LLC,4/30/21,8651 SWISS,1425203000,0,SWISS AIRE LT  12  G:2334,21293
R21-1286,BldgAlter,ALASKA SOLAR LLC,4/30/21,601 HILAND,7827103000,0,HUNDRED HILLS 1ST ADDITION BLK   6 LT   2  G:1161,27333
R21-1287,BldgAlter,ALASKA SOLAR LLC,4/30/21,21812 SHEPPARD,5020222000,0,BLUEBERRY HILL BLK   1 LT   4  G:0058,28937
R21-1288,BldgAlter,ALASKA SOLAR LLC,4/30/21,18548 OUTLOOK,5031527000,0,ROSEBERRY PARK ESTATES BLK   1 LT   2  G:0154,35721
R21-1393,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,4/30/21,3744 KNIK,122545000,0,SIMONSON BLK  16A LT   2  G:1526,21000
R21-1397,BldgAlter,ALASKA SOLAR LLC,4/30/21,247 TANNER,7516331000,0,ALPINE VIEW ESTATES PH 2 BLK   1 LT  26  G:4815,27650
R21-1398,BldgAlter,ALASKA SOLAR LLC,4/30/21,159 CERVIN,7607215000,0,ALYESKA BASIN #5 BLK  20 LT   5  G:4916,16422
R21-1399,BldgAlter,ALASKA SOLAR LLC,4/30/21,10372 RIDGE PARK,1623546000,0,RIDGEMONT BLK   3 LT   9  G:2533,14492
R21-1401,BldgAlter,ALASKA SOLAR LLC,4/30/21,3240 SOUTH,1430291000,0,GRAZELDA BLK   2 LT  23  G:2334,3500
R21-1446,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,4/30/21,3310 JERDE,702105000,0,JERDE WOOD BLK   1 LT   4  G:1638,21000
R21-1448,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,4/30/21,2500 LORD BARANOF,123508000,0,TURNAGAIN HOMES BLK   E LT   7  G:1527,28000
R21-1529,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,5/31/21,3212 TAYSHEE,718110000,0,BARANOF WOODS BLK   3 LT  33A  G:1639,11500
R21-1629,BldgAlter,ALASKA SOLAR LLC,5/31/21,2131 LORD BARANOF,118328000,0,TURNAGAIN HOMES BLK   D LT  45  G:1527,16593
R21-1630,BldgAlter,ALASKA SOLAR LLC,5/31/21,1500 CACHE,919256000,0,WICKERSHAM PARK #5 BLK   6 LT   7  G:1833,15802
R21-1631,BldgAlter,ALASKA SOLAR LLC,5/31/21,7284 TYRE,1142266000,0,MUIRWOOD PARK BLK   3 LT  17  G:2123,21090
R21-1632,BldgAlter,ALASKA SOLAR LLC,5/31/21,E 8100 11TH,612237000,0,MULDOON HEIGHTS BLK   2 LT  12  G:1341,22466
R21-1633,BldgAlter,ALASKA SOLAR LLC,5/31/21,10840 VOSIKOF,1516419000,0,TIMBERLINE LT   9  G:2641,28781
R21-1634,BldgAlter,ALASKA SOLAR LLC,5/31/21,4019 KOGRU,5058120000,0,NORTH SLOPE #2 BLK   5 LT  16  G:0703,15268
R21-1742,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,5/31/21,7831 CASEY,1416155000,0,BIG FOOT LT   9  G:2235,11000
R21-1743,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,5/31/21,12421 HACE,1802139000,0,BEACON PARK BLK   2 LT   3  G:2832,21000
R21-1919,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,6/30/21,611 LORI,611508000,0,KLUANE TERRACE TRAILER EST #4 BLK   3 LT   4  G:1341,34000
R21-1931,BldgAlter,ALASKA SOLAR LLC,6/30/21,16906 OLD GLENN,5126203000,0,T15N R1W SEC 20 LT  28  G:0856,41744
R21-1933,BldgAlter,ALASKA SOLAR LLC,6/30/21,7704 CHAIMI,712735000,0,CHUGACH MOUNTAIN ESTATES BLK 9LT 9  G:1740,21414
R21-2002,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,6/30/21,6061 BRISTOL,1739145000,0,MOUNTAIN PARK ESTATES BLK   9 LT  11  G:2838,23958
R21-2059,BldgAlter,RENEWABLE ENERGY SYSTEMS,6/30/21,W 2710 34TH,1008212000,NA,0   NEW MCRAE BLK   1 LT   5  G:1627,50572
R21-2073,BldgAlter,RENEWABLE ENERGY SYSTEMS,6/30/21,3860 REFLECTION,709166000,NA,0   REFLECTION LAKE BLK   1 LT  20A  G:1738,20380
R21-2098,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,6/30/21,1413 ATKINSON,616741000,0,NUNAKA VALLEY BLK   C LT  14  G:1438,17125.9
R21-2110,BldgAlter,ALASKA SOLAR LLC,6/30/21,8677 ESTATES,1424448000,0,SPRUCE RIDGE ESTATES LT   3  G:2335,24533
R21-2111,BldgAlter,ALASKA SOLAR LLC,6/30/21,1070 NORTHPOINTE BLUFF,302123000,0,NORTHPOINTE BLUFF BLK   1 LT   9 NORTHPOINTE BLUFF PLANNED COMM G:1132,29754
R21-2112,BldgAlter,ALASKA SOLAR LLC,6/30/21,2010 BELMONT,117347000,0,HUNTINGTON PARK #5A BLK   8 LT  34  G:1528,17872
R21-2163,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,7/31/21,4902 DE ARMOUN,1809250000,0,W-A LT   2  G:2936,19600
R21-2187,BldgAlter,RENEWABLE ENERGY SYSTEMS,7/31/21,10650 LONE TREE,1532255000,0,VALLI VUE ESTATES #2 BLK   2 LT   3  G:2538,6414
R21-2240,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,7/31/21,2850 PELICAN,1238337000,0,CAMPBELL LAKE HEIGHTS #10 BLK   2 LT  21  G:2427,20137
R21-2241,BldgAlter,ALASKA SOLAR LLC,7/31/21,5612 HERITAGE HEIGHTS,1522176000,0,CROSS VIEW ESTATES BLK   2 LT  14  G:2737,25404
C21-1815,BldgAlter,ALASKA SOLAR LLC,8/30/21,1361 HUFFMAN PARK,1619193024,0,LUCKY HUFFMAN BLK 1 LT 3 THE GARAGE AT HUFFMAN G:2732,17136
R21-2439,BldgAlter,MIDNIGHT SUN SOLAR LLC,8/30/21,6101 GROSS,1492232000,0,CHUGACH ESTATES BLK 2 LT 16B G:2034,24527
R21-2492,BldgAlter,ALASKA SOLAR LLC,8/30/21,4700 VIRGO,2009170000,0,MINDYER MANORS BLK 2 LT 3 G:3336,12452
R21-2500,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,8/30/21,6700 MULBERRY,1206214000,0,WOODLAND LAKES DEV UNIT #1 BLK 3 LT 37 G:2026,22000
R21-2532,BldgAlter,ALASKA SOLAR LLC,8/30/21,915 CLAY,116331000,0,KAPINGEN LT 18A G:1529,19386
R21-2538,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,8/30/21,E 728 75TH,1304119000,0,HOLLOWBROOK BLK 1 LT 3 G:2131,38000
R21-2768,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,9/30/21,10487 ELMORE,1511255000,0,MILLPLACE ESTATES LT   2  G:2536,32000
R21-2777,BldgAlter,ALASKA SOLAR LLC,9/30/21,4800 SNOW,631118000,0,PINE VALLEY ESTATES BLK   1 LT   8  G:1537,19192
R21-2778,BldgAlter,ALASKA SOLAR LLC,9/30/21,6060 BRISTOL,1739133000,0,MOUNTAIN PARK ESTATES BLK   8 LT   9  G:2838,18159
R21-2779,BldgAlter,ALASKA SOLAR LLC,9/30/21,W 3301 70TH,1214539000,0,WINDSOR VILLAGE #1 BLK   4 LT  12  G:2126,11500
R21-2781,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,9/30/21,E 1819 24TH,317214000,0,ROGERS PARK TERRACE BLK   2 LT   5  G:1533,29000
R21-2842,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,9/30/21,3202 SEAPORT,1917152000,0,DISCOVERY HEIGHTS PHASE 3 BLK   4 LT  17  G:2626,21000
R21-2858,BldgAlter,ALASKA SOLAR LLC,9/30/21,219 BUNN,503145000,0,FAIRVIEW EXTENSION BLK  31 LT   3A  G:1236,14512
R21-2859,BldgAlter,ALASKA SOLAR LLC,9/30/21,1816 WESTVIEW,620262000,0,THE FOOTHILLS BLK   7 LT  33  G:1441,29000
R21-2863,BldgAlter,ALASKA SOLAR LLC,9/30/21,2060 SARATOGA,124320000,0,HUNTINGTON PARK #1 BLK   2 LT  17  G:1528,21242
R21-2936,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,10/31/21,3355 DICKSON,705527000,0,CLYDE M DICKSON BLK   1 LT  12  G:1640,32000
R21-3025,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,10/31/21,E 3613 17TH,413506000,0,THUNDERBIRD TERRACE BLK  11 LT  15  G:1435,15200
R21-3092,BldgAlter,ALASKA SOLAR LLC,11/30/21,1119 G,214448000,0,SOUTH ADDITION BLK  22A LT  10  G:1330,14928
R21-3136,BldgAlter,RENEWABLE ENERGY SYSTEMS,12/31/21,W 3231 80TH,1224141000,0,SHADY BIRCH #1 LT  11  G:2226,12177
R21-3137,BldgAlter,RENEWABLE ENERGY SYSTEMS,12/31/21,9010 SAHALEE,1504411000,0,SAHALEE BLK   1 LT  22  G:2336,21193
R22-1017,BldgAlter,MIDNIGHT SUN SOLAR LLC,1/31/22,1621 WICKERSHAM,919239000,0,WICKERSHAM PARK #1 BLK   8 LT  26  G:1833,18972
C22-1273,BldgAlter,ALASKA SOLAR LLC,3/31/22,W 1049 NORTHERN LIGHTS,125179000,0,SUNBEAM BLK   3 LT  12  G:1529,48245
R22-1188,BldgAlter,ALASKA SOLAR LLC,3/31/22,10475 BLACKWOLF,4103330000,0,END OF THE ROAD LT  2A  G:2143,29712
R22-1193,BldgAlter,ALASKA SOLAR LLC,3/31/22,6816 DOUBLE TREE,1531118000,0,VALLI VUE ESTATES #1 BLK   1 LT  17  G:2539,9393
R22-1194,BldgAlter,ALASKA SOLAR LLC,3/31/22,1207 G,214453000,0,12TH AVENUE LT   1  G:1330,12338
R22-1196,BldgAlter,ALASKA SOLAR LLC,3/31/22,2822 ALDER,415422000,0,ANCHOR PARK BLK   7 LT  47  G:1534,10000
R22-1197,BldgAlter,ALASKA SOLAR LLC,3/31/22,1601 BETULA,1628638000,0,CEDAR HOLLOW BLK   2 LT  34  G:2532,18495
R22-1198,BldgAlter,ALASKA SOLAR LLC,3/31/22,1820 WESTVIEW,620263000,0,THE FOOTHILLS BLK   7 LT  34  G:1441,9608
R22-1200,BldgAlter,ALASKA SOLAR LLC,3/31/22,10960 VOSIKOF,1516412000,0,TIMBERLINE LT  11  G:2641,31857
R22-1201,BldgAlter,ALASKA SOLAR LLC,3/31/22,11302 TOTEM,1514308000,0,DAVID RING LT   2A  G:2637,7983
R22-1202,BldgAlter,ALASKA SOLAR LLC,3/31/22,8150 GRAYHAWK,1423538000,0,GRAY HAWK LT  16  G:2235,10445
R22-1203,BldgAlter,ALASKA SOLAR LLC,3/31/22,8291 OPAL,1226434000,0,DIMOND BIRCH #2 BLK   2 LT   3  G:2227,16870
R22-1204,BldgAlter,ALASKA SOLAR LLC,3/31/22,1552 PRIMROSE,412150000,0,GRANDVIEW GARDENS BLK  14 LT  15  G:1435,10030
R22-1205,BldgAlter,ALASKA SOLAR LLC,3/31/22,1541 I,109154000,0,WELCH'S BLK 42A LT  8A  G:1429,24173
R22-1313,BldgAlter,ALASKA SOLAR LLC,4/30/22,5063 HERITAGE HEIGHTS,1522146000,0,CROSS VIEW ESTATES BLK   1 LT   3  G:2737,46938
R22-1404,BldgAlter,ALASKA SOLAR LLC,4/30/22,3540 WINGATE,323166000,0,COLLEGE VILLAGE #13 BLK  31 LT  11  G:1632,16448
R22-1405,BldgAlter,ALASKA SOLAR LLC,4/30/22,5100 REBANO,1738128000,0,CONTOUR ACRES #4 TR   A-1  G:2837,76628
R22-1406,BldgAlter,ALASKA SOLAR LLC,4/30/22,3657 EASTWIND,1841158000,0,TURNAGAIN VIEW ESTATES PH 4 BLK   6 LT  14  G:2935,18868
R22-1408,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,4/30/22,13115 GULF,1806131000,0,OCEANVIEW #1 BLK   8 LT  18  G:2831,28000
R22-1434,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,4/30/22,W 5031 80TH,1111130000,0,SAND LAKE #1 LT   2A  G:2224,2400
R22-1544,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,5/31/22,3967 EASTER ISLAND,1141281000,0,RESOLUTION POINTE PH 3 BLK  1A LT  13  G:2525,26000
R22-1548,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,5/31/22,E 1726 58TH,927504000,0,IGLOO ESTATES BLK   3 LT  13  G:1933,26000
R22-1549,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,5/31/22,12914 ALGARIN,1702388000,0,GREENBROOK BLK   2 LT  21C  G:2839,16000
R22-1573,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,5/31/22,5270 HERITAGE HEIGHTS,1530168000,0,CROSS VIEW ESTATES BLK   2 LT  22  G:2737,32000
R22-1574,BldgAlter,ALASKA SOLAR LLC,5/31/22,2164 ALDER,415413000,0,ANCHOR PARK BLK   7 LT  38 P-254 G:1534,13520
R22-1575,BldgAlter,ALASKA SOLAR LLC,5/31/22,12550 TANADA,1802532000,0,TANAGA TERRACE BLK   2 LT   4  G:2832,21460
R22-1576,BldgAlter,ALASKA SOLAR LLC,5/31/22,5800 BULGARIA,2041428000,0,PARADISE VALLEY BLK  10 LT   1  G:3538,15520
R22-1577,BldgAlter,ALASKA SOLAR LLC,5/31/22,8739 EMERALD,1115224000,0,JEWEL LAKE HEIGHTS #1 LT  36B  G:2325,34082
R22-1578,BldgAlter,ALASKA SOLAR LLC,5/31/22,6951 VIBURNUM,1411426000,0,JOHNSON-YOUNG #1 BLK   2 LT  16  G:2132,13720
R22-1579,BldgAlter,ALASKA SOLAR LLC,5/31/22,8230 STRATTON,1422342000,0,SIDE BY SIDE LT   9A  G:2234,22466
R22-1580,BldgAlter,ALASKA SOLAR LLC,5/31/22,4040 JUSTIN,1431193000,0,JENNIFER PARK LT   5  G:2335,10940
R22-1581,BldgAlter,ALASKA SOLAR LLC,5/31/22,8820 SPENDLOVE,1740153000,0,SPENDLOVE VIEW HEIGHTS #3 BLK   5 LT   2  G:2841,19555
R22-1617,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,5/31/22,9620 ARLENE,1241232000,0,CAMPBELL LAKE HEIGHTS #10 BLK   2 LT  11  G:2427,25000
R22-1618,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,5/31/22,3208 WOODLAND PARK,1009105000,0,WOODLAND PARK LT   5G  G:1628,22000
R22-1709,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,5/31/22,5807 PERRY,616335000,0,NUNAKA VALLEY BLK   Q LT  16  G:1438,13000
R22-1711,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,5/31/22,3259 AQUARIUS,1007114000,0,COLUMBIA PARK #5 BLK   2 LT  13  G:1626,12000
R22-1712,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,5/31/22,8901 TRAIL,1519226000,0,TRAILS END BLK   5 LT   5  G:2641,32000
R22-1719,BldgAlter,ALASKA SOLAR LLC,5/31/22,4030 COSMOS,1006315000,0,SATELLITE PARK #1 BLK   1 LT   8A  G:1625,19564
R22-1721,BldgAlter,ALASKA SOLAR LLC,5/31/22,3230 ROSELLA,718227000,0,BAXTER HEIGHTS BLK   4 LT   7  G:1639,19186
R22-1722,BldgAlter,ALASKA SOLAR LLC,5/31/22,4801 SNOW,631117000,0,PINE VALLEY ESTATES BLK   1 LT   7  G:1537,19682
R22-1723,BldgAlter,ALASKA SOLAR LLC,5/31/22,2524 BROOK HILL,1617336000,0,BROOKWOOD HILLS NORTH LT  36  G:2733,15007
R22-1724,BldgAlter,ALASKA SOLAR LLC,5/31/22,3021 BRANDYWINE,1216222000,0,VILLAGE GREEN #3 BLK   3 LT   3  G:2127,20460
R22-1727,BldgAlter,ALASKA SOLAR LLC,5/31/22,2072 STANFORD,321634000,0,COLLEGE VILLAGE # 2 BLK  13 LT  11  G:1633,25708
R22-1728,BldgAlter,ALASKA SOLAR LLC,5/31/22,8101 WHITE,1509342000,0,CONIFER HEIGHTS BLK   1 LT   6  G:2440,37395
R22-1787,BldgAlter,RENEWABLE ENERGY SYSTEMS,5/31/22,W 1331 80TH,1220447000,0,SHERWOOD ACRES #1 BLK   2 LT  24  G:2229,12800
R22-1837,BldgAlter,RENEWABLE ENERGY SYSTEMS,6/30/22,1761 WESTVIEW,620265000,0,THE FOOTHILLS BLK   7 LT 36  G:1441,26159
R22-1838,BldgAlter,RENEWABLE ENERGY SYSTEMS,6/30/22,W 3420 30TH,1004306000,0,TURNAGAIN SOUTH BLK   6 LT  6  G:1626,16176
R22-1839,BldgAlter,RENEWABLE ENERGY SYSTEMS,6/30/22,3406 GREENLAND,1009744000,0,WOODLAND PARK #2 BLK   7 LT  9  G:1628,23366
R22-1859,BldgAlter,ALASKA SOLAR LLC,6/30/22,10720 SCHUSS,1513483000,0,PROSPECT HEIGHTS #2 BLK   7 LT  5  G:2540,30962
R22-1860,BldgAlter,ALASKA SOLAR LLC,6/30/22,811 HOWARD,609732000,0,HUNTWOOD PARK #2 BLK   2 LT 32  G:1339,18656
R22-1861,BldgAlter,ALASKA SOLAR LLC,6/30/22,10440 PRINCE WILLIAM,1140286000,0,RESOLUTIONPOINTE PH 1 BLK  3A LT 22  G:2525,19048
R22-1862,BldgAlter,ALASKA SOLAR LLC,6/30/22,2530 BANBURY,638333000,0,FOXHALL #4 BLK   4 LT 34  G:1539,15112
R22-1863,BldgAlter,ALASKA SOLAR LLC,6/30/22,6730 REEDYKE,1406313000,0,O'BRIEN ACRES LT  13  G:2034,7562
R22-1864,BldgAlter,ALASKA SOLAR LLC,6/30/22,911 R,107219000,0,L STREET SLIDE REPLAT PHASE 2 BLK  13A LT2A  G:1328,14757
R22-1865,BldgAlter,ALASKA SOLAR LLC,6/30/22,2020 SHORE,1910159000,0,SHORE CREST BLK   3 LT  7  G:2728,16856
R22-1867,BldgAlter,ALASKA SOLAR LLC,6/30/22,W 517 15TH,215511000,0,SOUTH ADDITION BLK  38C LT  10  G:1430,12648
R22-1868,BldgAlter,ALASKA SOLAR LLC,6/30/22,7705 PORT ORFORD,1509353000,0,CONIFER HEIGHTS BLK   1 LT 23  G:2440,20713
R22-1869,BldgAlter,ALASKA SOLAR LLC,6/30/22,8540 CORMORANT COVE,1501618000,0,SAHALEE PHASE 3 BLK   2 LT 50  G:2336,13656
R22-1870,BldgAlter,ALASKA SOLAR LLC,6/30/22,9650 BRIEN,1506118000,0,CRESTWOOD LT  16  G:2438,21830
R22-1871,BldgAlter,ALASKA SOLAR LLC,6/30/22,11139 BULWARK,1916315000,0,LOOKOUT LANDING PHASE 3 BLK   2 LT 31  G:2627,15832
R22-1969,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,6/30/22,7310 SETTER,1107369000,0,SPORTSMENSPOINT #3 BLK   4 LT 24A  G:2124,23000
R22-1970,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,6/30/22,10613 BRIGANTINE,1254366000,0,MARINER POINT AT SOUTHPORT PH3 BLK   1 LT 13  G:2527,23000
R22-1971,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,6/30/22,3640 DORA,1833208000,0,T12N R3W SEC 33 LT 226  G:3135,26000
R22-2009,BldgAlter,RENEWABLE ENERGY SYSTEMS,6/30/22,4808 BUCKINGHAM,1033434000,0,WINDEMERE BLK   4 LT  3  G:1829,17000
R22-2010,BldgAlter,RENEWABLE ENERGY SYSTEMS,6/30/22,14495 OLD SEWARD,1824127000,0,TURNAGAIN PARK #2 BLK   2 LT  2  G:3033,45869
R22-2025,BldgAlter,ALASKA SOLAR LLC,6/30/22,1801 SUNRISE,414110000,0,SAXTON BLK   8 LT 12  G:1434,11470
C22-1762,BldgAlter,ALASKA SOLAR LLC,7/31/22,6407 ARCTIC SPUR,1202140000,0,ARCTIC INDUSTRIAL #2 BLK   1 LTS  3 & 4  G:2029,18200
R22-2057,BldgAlter,RENEWABLE ENERGY SYSTEMS,7/31/22,6672 O'BRIEN,1405413000,0,GALATEA ESTATES BLK   8 LT 10  G:2033,12325
